gene_id	gene_symbol	Normal_1	Normal_2	Normal_3	TNB_1	TNB_2	TNB_3
ENSG00000138778	FGFRL1	1.15	1.38	1.22	-1.31	-1.19	-1.25
ENSG00000108342	TM4SF4	1.35	1.12	1.28	-1.42	-1.18	-1.15
ENSG00000233927	RPL28	1.25	1.42	1.18	-1.38	-1.22	-1.25
ENSG00000142611	PRDM16	1.30	1.38	1.15	-1.25	-1.32	-1.26
ENSG00000141959	NFIC	1.42	1.30	1.22	-1.28	-1.35	-1.31
ENSG00000260417	ENSG00000260417	1.28	1.40	1.18	-1.32	-1.25	-1.29
ENSG00000168056	FAM107A	1.35	1.32	1.25	-1.30	-1.34	-1.28
ENSG00000295404	ENSG00000295404	1.38	1.26	1.30	-1.35	-1.31	-1.28
ENSG00000295262	ENSG00000295262	1.42	1.35	1.24	-1.36	-1.38	-1.27
ENSG00000281769	ENSG00000281769	1.32	1.45	1.28	-1.34	-1.39	-1.32
ENSG00000136286	ATP10B	1.40	1.36	1.30	-1.38	-1.35	-1.33
ENSG00000300339	ENSG00000300339	1.38	1.42	1.25	-1.35	-1.40	-1.30
ENSG00000164292	CLVS2	1.45	1.38	1.32	-1.40	-1.38	-1.37
ENSG00000128342	LIF	1.48	1.42	1.35	-1.42	-1.44	-1.39
ENSG00000009950	MLXIPL	1.50	1.45	1.38	-1.45	-1.44	-1.44
ENSG00000210154	ENSG00000210154	1.42	1.50	1.39	-1.44	-1.46	-1.41
ENSG00000171241	MYADM	1.52	1.48	1.42	-1.48	-1.47	-1.47
ENSG00000197728	RPS26	1.55	1.52	1.46	-1.51	-1.50	-1.52
ENSG00000213058	ENSG00000213058	1.58	1.50	1.49	-1.52	-1.53	-1.52
ENSG00000276839	ENSG00000276839	1.54	1.58	1.51	-1.55	-1.54	-1.54
ENSG00000164107	HAND2	1.60	1.56	1.53	-1.56	-1.57	-1.56
ENSG00000211448	DIO2	1.62	1.60	1.55	-1.58	-1.60	-1.59
ENSG00000210144	ENSG00000210144	1.65	1.62	1.58	-1.62	-1.61	-1.62
ENSG00000233974	ENSG00000233974	1.68	1.65	1.60	-1.64	-1.65	-1.64
